business_type,affected
Commercial Real Estate Services,46
Leading  healthcare improvement company,46
"Hobby, Toy, and Game Stores",46
Façade Manufacturing,46
Courier Service,45
"Theatrical, architectural, film and video lighting",45
Bank,45
Software Company,44
Mechanical Contractor,44
"New York City-based online monthly subscription service that sends its subscribers a box of four to five selected samples of makeup, or other beauty related products..",44
Automobile Sales,43
Neurology Health Care Provider,43
Network Provider,43
Iron Manufacturer,43
Watch Manufacturing,42
Architecture Firm,42
Limousine Service,41
Environmental Consulting,41
Payroll & HR Services,40
Auto Dealer,40
Music Venue,40
Labor Union,39
Operates online content and retail properties,39
Cellular Sales,38
Heating and Cooling,38
Denim Retailer,37
Stone Quarry,37
"Provide complete source for lab systems and sustainable, adaptable casework of painted steel, wood or stainless steel complete with specified fixtures, fume hoods and work surfaces.",37
Parking facility servicing the LaGuardia Airport,36
American online travel company,36
Medical Billing,36
Convention Center,35
Cleaning and Flooring,35
Insulation Contractor,35
Manufacturer of capacitors,35
"Bedding, Bath, and window Manufacturing",34
Attorney,34
Broth Shop,34
Hunting Club,34
Health group practice,34
Home Furnishing,34
Software,34
Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,34
an American clothing brand and retailer,33
Manages the production and distribution for Gannett’s domestic daily newspapers,33
Medical Facility,33
Media Company,32
Non-profit organization,32
Refrigeration Wholesaler,32
Security System Installation,32
"Developing private incubated brands across multiple categories of Health, Beauty, & Wellness, Fashion, and Home furnishing products.",31
Attorney's Office,31
Electricians,31
Consumer Electronics Company,31
Car Dealership,31
Data Analytics Service Provider,30
Call Center,29
Public relations,28
Janitorial Engineering,28
Clothing Manufacturer,28
Go-kart track,27
Travel Center,27
Fiberglass Manufacturing,25
Event Company,25
Home Health Care,25
Executive Events Company,24
Auction House,22
Same-day grocery delivery and pick-up service,22
Air Compressor Manufacturer,20
Collision Repair,19
Human services non-profit organization sponsored by the Catholic Charities of the Archdiocese of New York with programs that help a large needy population in the New York metropolitan area.,19
Financial Institution,19
Building Materials Supplier,18
Investment Services,18
Industrial Machinery & Equipment,18
Outdoor Lounge/Restaurant,17
Carpet Cleaning Service,17
Interior Design,16
A global defense technology leader,16
"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",15
Concrete Supplier,14
Duck Farming,14
PR Consulting,13
General Medical & Surgical Hospital,13
Hydraulic Repair Service,13
Custom fabricator of architectural metal,12
Theatre Company,12
Dental equipment distribution and manufacturing,11
Art Storage and Services,9
Production  Company,8
Cosmetic Manufacturer,7
Programs for persons with development disabilities.,7
Studio Equipment,6
Asphalt Contractor,5
Banking  Services,4
Photographic equipment and Supplies,4
Animal Feed Store,3
"American premium channel owned by the Home Box Office, Inc.",2
Interior designer,2
Pharmaceuticals (production),2
Health Plans,1
Wholesale Distribution,1
Providing temporary and long-term housing accommodations for relocated individuals and corporate officials,1
Salon,0
Clothing Manufacturing,0
Closets and Storage,0
Food Distribution,0
Advertising,0
Obstetrics and Gynecology,0
Ambulatory Surgery Center,0
Furniture Store,0
Physical and Occupational Therapy,0
Museum,0
Ophthalmologist/Optician,0
