notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
11/19/2019,2019-0193,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,February,Economic,The remote employee is not represented by a union.,Plant Layoff
9/30/2019,2019-0192,Plant Closing,"PB&J Group, LLC (dba Candle 79)","154 East 79th Street New York, NY 10075",New York County,(718) 679-5214,Organic restaurant,48,48,12/31/2019,Economic,The employees are not represented by a union.,Plant Closing
12/9/2019,2019-0186,Plant Layoff,GBG USA Inc. (Global Brands Group),"Corporate Headquarters 350 5th Ave New York, NY 10118",New York County,(646) 839-7614,Apparel store offices,83,340,Separations,Economic,The employees are not represented by a union.,Plant Layoff
12/9/2019,2019-0054,Plant Closing,Catholic Guardian Services,"140 Casals Place, Co-Op City, Apt. 21 H Bronx, NY 10475",Bronx County,(212) 371-1000 Ext,Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,34,174,The,Discontinuation of operations,United Food & Commercial Workers’ Union (UFCW) Local 888,Plant Closing
12/11/2019,2019-0188,Plant Closing,"Castelli America, LLC","5151, 5152, 5183 Fairbanks Road and 5185 Route 474, Harmony, New York 14710 (also known as 5185 Route 474, Ashville, New York 14710)",Chautauqua County,(716) 782-2101,Cheese manufacturer,68,68,December,Economic,The employees are not represented by a union.,Plant Closing
12/6/2019,2019-0185,Plant Closing,Gibsons Bar and Steakhouse (at the Polo Bar Ralph Lauren),"1 E. 55th Street New York, NY 10022",New York County,(312) 587-0575 Ext,Restaurant,156,156,Separations,Gibsons Bar and Steakhouse is ceasing its operations at the Polo Bar Ralph Lauren.,The employees are not represented by a union.,Plant Closing
12/5/2019,2019-0184,Plant Closing,"Brooks-TLC Hospital System, Inc., TLC Health Network Campus","845 Routes 5 & 20 (Main Road) Irving, NY 14081",Chautauqua County,(716) 363-7263,Acute Care Hospital,201,201,December,Economic,1199 SEIU United Healthcare Workers East,Plant Closing
12/4/2019,2019-0180,Plant Closing,"GL&V USA, Inc. (Part of Valmet)","27 Allen Street Hudson Falls, NY 12839",Washington County,(518) 747-1367,Paper mill machinery manufacturer,40,40,Layoffs,Economic,The employees are not represented by a union.,Plant Closing
11/27/2019,2019-0181,Plant Layoff,"HCL America, Inc.","800 Phillips Road Webster, NY 14580",Monroe County,(908) 731-2256,Leading global IT services company,11,0,1/16/2020,Economic,The employees are not represented by a union.,Plant Layoff
12/6/2019,2019-0183,Plant Closing,"Crystal Run Health Plan, LLC (Phase 3)","109 Rykowski Lane Middletown, NY 10941",Orange County,(845) 703-6106,Health Plans,4,18,Separations,Economic,The employees are not represented by a union.,Plant Closing
12/5/2019,2019-0182,Plant Closing,"Quality Frozen Foods, Inc.","1663 62nd Street Brooklyn, NY 11204",Brooklyn County,(718) 256-9100,Wholesale grocer,82,82,Separations,Sale of the business,Teamsters Local 707,Plant Closing
12/3/2019,2019-0178,Plant Layoff,KIK Custom Products,"935 East Hiawatha Blvd. Syracuse, NY 13208",Onondaga County,(337) 421-6011,Packaging and labeling services,27,38,The,Significant reduction in production,The employees are not represented by a union.,Plant Layoff
12/3/2019,2019-0173,Plant Closing,Icahn Capital L.P.,"767 Fifth Avenue New York, NY 10153",New York County,(212) 702-4354,Private equity,3,27,March,"Relocating to Miami, Florida",The employees are not represented by a union.,Plant Closing
12/2/2019,2019-0172,Plant Layoff,"Featherstone Foods, Inc.","1164 E. 156th Street Bronx, NY 10474",Bronx County,(914) 497-2204,Food products supplier,99,99,March,"Acquisition of Featherstone Foods, Inc. by Featherstone Distribution, LLC.",The employees are not represented by a union.,Plant Layoff
11/27/2019,2019-0168,Plant Layoff,"Crosstex International, Inc. (Cantel) Phase 3","10 Ranick Road Hauppauge, NY 11788",Suffolk County,(631) 582-6777,Dental equipment distribution and manufacturing,13,88,Separations,"Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.",The employees are not represented by a union.,Plant Layoff
10/22/2019,2019-0177,Plant Closing,Ibase Operations Corp. 'dba' Qualitest,"111 8th Ave New York, NY 10011",New York County,(619) 278-9481,Independent software testing & Quality Assurance Service,63,63,February,Economic,The employees are not represented by a union.,Plant Closing
11/26/2019,2019-0068,Plant Unit Closing,ACCO Brands USA LLC,"941 Acco Way Ogdensburg, NY 13669",St. Lawrence County,(315) 605-3090,Manufacturing operations,54,100,Due,Termination of Manufacturing Operations,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
12/3/2019,2019-0170,Plant Closing,Oakwood Worldwide (US) LP,"888 Sixth Avenue, Suite 305 New York, NY 10017",New York County,(562) 473-7383,Providing temporary and long-term housing accommodations for relocated individuals and corporate officials.,21,21,Separations,Economic,New York Hotel & Motel Trades Council,Plant Closing
11/27/2019,2019-0169,Plant Layoff,"Distinctive Maintenance Partners, LLC","851 Tinton Avenue Bronx, NY 10456",Bronx County,(718) 764-0000,Cleaning Services,118,0,December,Non-renewal of service contract with Acacia Housing Network Inc.,The employees are not represented by a union.,Plant Layoff
11/25/2019,2019-0165,Plant Unit Closing,"PrimeFlight Aviation Services, Inc.","John F. Kennedy International Airport Queens, NY 11430",Queens County,(281) 942-6800,"Provides airline, aircraft, airport services",450,450,3/1/2020,Loss of contract with JetBlue Airway Corporation at John F. Kennedy International Airport,Service Employees International Union Local 32BJ (SEIU),Plant Unit Closing
11/22/2019,2019-0163,Plant Unit Closing,Jet.com Inc. (Walmart),"1055 Bronx River Ave Bronx, NY 10472",Bronx County,(312) 513-8842,Online grocery services,160,160,2/28/2020,Economic,The employees are not represented by a union.,Plant Unit Closing
11/22/2019,2019-0166,Plant Closing,Salisbury Hotel,"123 West 57th Street New York, NY 10019",New York County,(518) 740-2493,Hotel,87,87,2/20/2020,Economic,"New York Hotel and Motel Trades Council, AFL-CIO (Local 6)",Plant Closing
11/25/2019,2019-0167,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,178,2/22/2020,Economic,The employee is not represented by a union.,Plant Layoff
11/25/2019,2018-0006,Plant Closing,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor New York, NY 10036",New York County,(212) 560-1658,Restaurant,45,45,Close,Expiration of lease,The employees are not represented by a union.,Plant Closing
11/14/2019,2019-0146,Plant Layoff,Home Box Office. Inc.,"30 Hudson Yards New York, NY 10001",New York County,(212) 512-5644,"American premium channel owned by the Home Box Office, Inc.",15,1173,Separations,Merger,The employees are not represented by a union.,Plant Layoff
11/15/2019,2019-0142,Plant Layoff,"Residential Treatment Center and Learning Center, Lutheran  Social Services Group, Inc. (Gustavus Adoiphus Child and Family Services, Inc.)","715 Falconer Avenue Jamestown, NY 14701",Chautauqua County,(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,The,Merger,The employees are not represented by a union.,Plant Layoff
11/15/2019,2019-0144,Plant Layoff,"Residential Treatment Center (Gustavus Adolphus Child and  Family Services, Inc.)","200 Gustavus Avenue Jamestown, NY 14701",Chautauqua County,(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,The,Merger,The employees are not represented by a union.,Plant Closing
11/15/2019,2019-0143,Plant Layoff,"Learning Center (Gustavus Adolphus Child and Family Services,  Inc.)","210 Gustavus Avenue Jamestown, NY 14701",Chautauqua County,(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,Layoff,Merger,New York State United Teachers,Plant Closing
11/20/2019,2019-0145,Plant Closing,Mountain States Rosen Company (Hunts Point Co Op Markets),"355 Food Center Drive Bronx,  NY 10474",Bronx County,(970) 576-3600  Ext,"American premium channel owned by the Home Box Office, Inc.",15,1173,Layoff,Merger,UFCW Local 342,Plant Closing
10/22/2019,2019-0141,Plant Layoff,"Home Box Office, Inc.","30 Hudson Yards New York, NY 10001",New York County,(212) 512-5644,"American premium channel owned by the Home Box Office, Inc.",12,1173,Separations,Merger,The employees are not represented by a union.,Plant Layoff
11/12/2019,2019-0140,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,February,Economic,The employees are not represented by a union.,Plant Layoff
11/12/2019,2019-0139,Plant Closing,Plated.,"111 W. 19th Street, 3rd Floor New York, NY 10011",New York County,(631) 334-1937,American ingredient-and-recipe meal kit service,128,128,Separations,Economic,The employees are not represented by a union.,Plant Closing
11/12/2019,2019-0023,Plant Closing,Cayuga Operating Company LLC (Heorot Power),"228 Cayuga Drive Lansing, NY 14882",Tompkins County,(607) 533-7913 Ext,Power station,44,44,Separations,Economic,"International Brotherhood of Electrical Workers, Local 10",Plant Closing
11/8/2019,2019-0136,Plant Closing,Transform SR LLC (Sears Unit #01984),"S 3701 McKinley Parkway Buffalo, NY 14219",Erie County,(847) 286-1427,Retail store,45,45,Separations,Economic,The employees are not represented by a union.,Plant Closing
11/8/2019,2019-0138,Plant Closing,Transform KM LLC (Kmart Unit #03862),"5151 Sunrise Highway Bohemia, NY 11716",Suffolk County,(847) 286-1427,Retail store,78,78,Separations,Economic,The employees are not represented by a union.,Plant Closing
11/8/2019,2019-0137,Plant Closing,Transform KM LLC (Sidney - Kmart Unit #07676),"171 Delaware Avenue Sidney, NY 13838",Delaware County,(847) 286-1427,Retail store,84,84,Separations,Economic,The employees are not represented by a union.,Plant Closing
11/1/2019,2019-0134,Plant Closing,Forever 21 (Store #0614),"World Trade Center 185 Greenwich Street, Ste. LL4435 New York, NY 10007",New York County,(213) 765-2966,Retail Store,66,126,Separations,Economic,The employees are not represented by a union.,Plant Closing
10/30/2019,2019-0133,Plant Closing,Damiano Corp of Jamaica d/b/a McDonald's,"166-30 Jamaica Ave Jamaica, NY 11432",Queens County,(201) 954-3135,Restaurant,23,23,November,Economic,The employees are not represented by a union.,Plant Closing
11/5/2019,2019-0132,Plant Layoff,"Marvell Semiconductor, Inc. (East Fishkill office)","2070 Route 52 Hopewell Junction, NY 12533",Dutchess County,(408) 222-2500,Global semiconductor company,23,0,January,Economic,The employees are not represented by a union.,Plant Layoff
11/7/2019,2019-0131,Plant Layoff,"LSC Communications US, LLC (Dover Publications office)","31 East 2nd Street Mineola, NY 11501",Nassau County,(516) 294-7000 Ext,Commercial printing company,23,59,Separations,Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,2019-0127,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,1/26/2020,Economic,The employee is not represented by a union.,Plant Layoff
10/30/2019,2019-0128,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,3,0,1/27/2020,Economic,The employees are not represented by a union.,Plant Layoff
10/31/2019,2019-0129,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,2,0,1/28/2020,Economic,The employees are not represented by a union.,Plant Layoff
10/28/2019,2019-0125,Plant Layoff,L3Harris Technologies,"600 Third Avenue New York, NY 10016",New York County,(212) 805-5318,A global defense technology leader,34,0,January,Economic,The employees are not represented by a union.,Plant Layoff
10/31/2019,2019-0126,Plant Layoff,IPRO Headquarters,"1979 Marcus Avenue, Suite 105 Lake Success, New York 11042",Nassau County,(516) 209-5425,Health Care Service Contracts,136,228,The,End of one of IPRO’s core contracts,The employees are not represented by a union.,Plant Layoff
10/31/2019,2019-0122,Plant Closing,Lord + Taylor,"1825 Palisades Center Drive West Nyack, NY 10994",Rockland County,(860) 626-9652,Retail store,91,91,Employee,Economic,The employees are not represented by a union.,Plant Closing
10/28/2019,2019-0123,Plant Unit Closing,"Bethany Nursing Home & HRF, Inc. and Bethany Retirement Home, Inc.","(collectively Bethany Village) 3005 Watkins Road Horseheads, NY 14845",Chemung County,(607) 378-6954,Food service operations unit,52,52,2/8/2020,"Bethany Village will be contracting with Morrison Community Living, a division of Morrison Management Specialists, Inc.",The employees are not represented by a union.,Plant Unit Closing (ending its food service operations)
9/3/2019,2019-0124,Plant Layoff,"Dexia Credit Local, New York Branch","445 Park Avenue New York, NY 10022",New York County,(212) 705-0725,Bank,33,71,Employee,Economic,The employees are not represented by a union.,Plant Layoff
10/23/2019,2019-0120,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,2,0,January,Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,2019-0121,Plant Closing,iPic Entertainment Inc.,"1 Hamilton Street Dobbs Ferry, NY 10522",Westchester County,(561) 886-3236,Theater company,126,126,November,Economic,The employees are not represented by a union.,Plant Closing
10/29/2019,2019-0118,Plant Layoff,Macquarie Holdings (U.S.A.) Inc.,"125 W. 55th Street New York, NY 10019",New York County,(212) 231-1916,Fincanial services (US Cash Equities Division),86,0,Separations,Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,2019-0119,Plant Closing,Cascades Tissue Group,"148 Hudson River Road Waterford, NY 12188",Saratoga County,(518) 238-1900 Ext,Tissue manufacturing and conversion company,96,96,3/27/2020,Economic,The employees are not represented by a union.,Plant Closing
10/24/2019,2019-0115,Plant Layoff,"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street Lancaster, NY 14086",Erie County,(201) 419-9246,Medical equipment manufacturer,54,96,February,Economic,The employees are not represented by a union.,Plant Layoff
10/9/2019,2019-0114,Plant Closing,"HMS Ferries, Inc. (HMS Global Maritime LLC)","10 South Street New York, NY 10004",New York County,(812) 941-9990,Full-service marine management company,29,29,10/31/2019,Loss of contract to continue services at the Governors Island site,"International Organization of Masters, Mates & Pilots",Plant Closing
10/25/2019,2019-0117,Plant Closing,Nordstrom (Rack Store at Skyview Center (Store 512),"4024 College Point Blvd., Suite D417 Flushing, NY 11354",Queens County,(206) 303-2756,Retail Store,42,42,The,Economic,The employees are not represented by a union.,Plant Closing
10/23/2019,2019-0116,Plant Layoff,"AmTrust Financial Services, Inc.","600 Essjay Drive Williamsville, NY 14221",Erie County,(216) 727-4798,Insurance,39,74,The,Economic,The employees are not represented by a union.,Plant Layoff
10/11/2019,2019-0111,Plant Layoff,"Home Box Office, Inc.","300 New Highway Hauppauge, NY 11778",Suffolk County,(212) 512-8684,American premium channel,64,157,Four,Merger,Radio and Television Broadcast Engineers Union Local 1212 (IBEW),Plant Layoff
10/9/2019,2019-0110,Plant Closing,Del Frisco's Grille,"160 Walt Whitman Road, Suite 1108B Huntington Station, NY 11746",Suffolk County,(469) 913-1863,Full service restaurant,72,72,12/23/2019,Economic,The employees are not represented by a union.,Plant Closing
10/17/2019,2019-0109,Plant Closing,Premier Paratransit LLC,"940 Remsen Avenue Brooklyn, NY 11236",Brooklyn County,(718) 927-1410 Ext,Full service transportation business geared towards the physically challenged.,303,303,Affected,Loss of contract with the New York City Transit Authority,Local 713 International Brotherhood of Trade Unions,Plant Closing
10/17/2019,2019-0108,Plant Layoff,Cartoon Network Enterprises,"30 Hudson Yards New York, NY 10001",New York County,(404) 575-9735,Media services,7,12,Separations,Economic,The employees are not represented by a union.,Plant Layoff
10/16/2019,2019-0100,Plant Unit Closing,"EmblemHealth Services Company, LLC","55 Water St. New York, NY 10041",New York County,(646) 447-0495,Health claims processing,60,1241,Separations,Relocation of claims processing work,Local 153 Office & Professional Employees International Union,Plant Unit Closing
10/15/2019,2019-0101,Plant Layoff,ER Select LLC at St. James Mercy Hospital,"411 Canisteo Street Hornell, NY 14843",Steuben County,(585) 420-3914,Professional Employer Organization,352,352,12/31/2019,Termination of contract with St. James Mercy Hospital.,The employees are not represented by a union.,Plant Layoff
10/1/2019,2018-0438,Plant Closing,"DHR Restaurant Co. LLC, aka Rare Bar & Grill Murray Hill","303 Lexington Avenue New York, NY 10016",New York County,(646) 401-4727,Restaurant,47,47,2/29/2020,Seasonal venue,The employees are not represented by a union.,Plant Closing
9/20/2019,2019-0107,Plant Layoff,"PRWT Services, Inc.","1150 South Avenue Staten Island, NY 10314",Richmond County,(215) 569-8810 Ext,Data Processing Services,117,117,12/20/2019,Contracted work is being relocated by contracting entity,The employees are not represented by a union.,Plant Layoff
10/2/2019,2019-0099,Plant Layoff,Home Box Office. Inc. (HBO Service Corp.),"30 Hudson Yards New York, NY 10001",New York County,(212) 512-7699,American premium channel,32,1176,Separations,Merger,The employees are not represented by a union.,Plant Layoff
10/8/2019,2019-0096,Plant Closing,Port Morris Tile & Marble LP,"460 West 34th Street, Ste1700 New York, NY 10001",New York County,(718) 378-6100,Tile and terrazzo contactors,189,215,January,Economic,BAC Local 7 and International Brotherhood of Teamsters Local 282,Plant Closing
10/8/2019,2019-0098,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,1/6/2020,Economic,The employee is not represented by a union.,Plant Layoff
8/06/2019,2019-0029,Plant Closing,Transform KM LLC (Kmart Store 04726),"975 Fairmount Ave W E Jamestown, NY 14701",Chautauqua County,(847) 286-1427,Retail store,35,35,Separations,Economic,The employees are not represented by a union.,Plant Closing
10/3/2019,2019-0094,Plant Layoff,Eastman Kodak Company,"(Kodak Office) 343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,12/31/2019,Economic,The employees are not represented by a union.,Plant Layoff
10/8/2019,2019-0093,Plant Layoff,"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street Lancaster, NY 14086",Erie County,(574) 306-8710,Medical equipment manufacturer,6,96,January,Economic,The employees are not represented by a union.,Plant Layoff
10/7/2019,2019-0091,Plant Layoff,"Bonobos, Inc., a subsidiary of Walmart, Inc.","45 West 25th Street, 3rd Floor New York, NY 10110",New York County,(646) 532-5800,An e-commerce-driven apparel subsidiary of Walmart headquartered in New York City that designs and sells men's clothing.,26,220,1/17/2020,Changes to its organizational structure,The employees are not represented by a union.,Plant Layoff
10/2/2019,2019-0045,Plant Closing,Library Bar (at Hudson Hotel),"358 West 58th St. New York, NY 10019",New York County,(212) 453-6400,Bar in the Hudson Hotel,13,13,11/3/2019,Economic,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE, Local 6",Plant Closing
10/4/2019,2019-0089,Plant Closing,"J & M Distributing Co., Inc. (Certo Brothers Distributing)","2500 North America Drive West Seneca, NY 14224",Erie County,(716) 827-1133 Ext,Beer and Ale Merchant Wholesalers,270,270,The,Economic,"Teamsters Local 264, I.B.T.",Plant Closing
10/3/2019,2019-0090,Plant Closing,"RAROC, Inc. a subsidiary of Patina Restaurant Group, LLC","45 Rockefeller Plaza New York, NY 10111",New York County,(347) 491-9358,Restaurant and Entertainment,328,328,The,Lease termination,The employees are not represented by a union.,Plant Closing
10/4/2019,2019-0083,Plant Closing,"Taft Food Court, LLC - Restaurant Complex - Food Court (Pizza Hut, Nathan's and KFC) and Tad's Steaks Restaurants","761 Seventh Ave New York, NY 10019",New York County,(212) 560-1749,Restaurant,41,41,Separations,Economic,Tad's Steaks are represented by the UNITE HERE Local 100,Plant Closing
10/4/2019,2019-0088,Plant Closing,New York Health & Racquet Club,"62 Cooper Square New York, NY 10003",New York County,(212) 220-0673,Health and fitness center,57,57,All,Economic,The employees are not represented by a union.,Plant Closing
10/3/2019,2019-0019,Plant Closing,New York Health & Racquet Club,"60 West 23rd Street New York, NY 10010",New York County,(212) 220-0655,Health and fitness center,104,104,10/31/2019,Economic,The employees are not represented by a union.,Plant Closing
10/3/2019,2019-0087,Plant Closing,"Queens Medical Associates, P.C.","176-60 Union Turnpike Fresh Meadows, NY 11366",Queens County,(718) 312-3453,Hematology and medical oncology care for patients with cancer and blood disorders.,130,130,1/15/2020,Company selling all of its assets,The employees are not represented by a union.,Plant Closing
10/1/2019,2019-0082,Plant Closing,"Bunge Management Services, Inc.","50 Main Street, 6th Floor White Plains, NY 10606",Westchester County,(914) 684-3231,Regulation of agricultural marketing,67,67,The,Relocation of office,The employees are not represented by a union.,Plant Closing
10/1/2019,2019-0081,Plant Closing,Hotel Wales,"1295 Madison Avenue New York, NY 10128",New York County,(212) 683-3000,Hotel,42,42,12/31/2019,Economic,"New York Hotel & Motel Trades Council, AFL-CIO Local 6 Division A",Plant Closing
9/30/2019,2019-0080,Plant Closing,"57th Street, LLC d/b/a Kingside & The Roof","124 West 57th Street, Ground Floor & 29th Floor New York, NY 10019",New York County,(212) 750-6361 Ext,Hotel,107,107,1/1/2020,Sale of the hotel and lease was terminated,The employees are not represented by a union.,Plant Closing
10/1/2019,2019-0084,Plant Closing,"Isabella Visiting Care, Inc.","39 Broadway New York, NY 10006",New York County,(212) 356-5880,Licensed home care agency,569,569,12/31/2019,"Purchased by Bestcare, Inc.",1199 Service Employees International Union (SEIU),Plant Closing
10/1/2019,2019-0085,Plant Closing,"BINS Holdings, LLC fka BASIS Independent Schools, LLC (Manhattan)","795 Columbus Avenue New York, NY 10025",New York County,(480) 220-6081,"National network of PreK-12 private, secular schools",68,68,12/31/2019,"Acquired by Spring Education Group, Inc.",The employees are not represented by a union.,Plant Closing
9/26/2019,2019-0071,Plant Layoff,AllianceBernstein L.P. (Phase 7),"1345 Sixth Avenue New York, NY 10105",New York County,(212) 969-2135,Providing investment management and research services,51,1339,December,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Layoff
9/27/2019,2019-0073,Plant Closing,"Merastar Insurance Company, a subsidiary of Kemper Corporation","5784 Widewaters Parkway DeWitt, NY 13214",Onondaga County,(570) 496-5646,Insurance,50,50,12/27/2019,Economic,The employees are not represented by a union.,Plant Closing
9/29/2019,2019-0074,Plant Closing,"Lane Bryant, Inc.","380 Fulton Street Brooklyn, NY 11201",Kings County,(614) 463-4851,Women's apparel,82,82,"12/29/2019,",Economic,"Retail, Wholesale and Department Store Union (RWDSU/UFCW) Local 338",Plant Closing
9/20/2019,2019-0070,Plant Layoff,"Crosstex International, Inc. (Cantel) Phase 2","10 Ranick Road Hauppauge, NY 11788",Suffolk County,(631) 582-6777,Dental equipment distribution and manufacturing,7,88,Separations,"Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.",The employees are not represented by a union.,Plant Layoff
9/30/2019,2019-0076,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,1,708,This,Economic,The affected employee is not represented by a union.,Plant Unit Closing
10/1/2019,2019-0077,Plant Closing,AEG Presents (operator of PlayStation Theater aka The Best Buy Theater),"1515 Broadway New York, NY 10036",New York County,(212) 375-1200,Broadway Theater,62,62,The,"AEG Presents, the operator of PlayStation Theater aka The Best Buy Theater, will permanantly cease all of its operations of the theater.",International Alliance of Theatrical Stage Employees (IATSE) Local 1,Plant Closing
9/25/2019,2019-0079,Plant Closing,Empire State Brewing Corp. d/b/a Heartland Brewery,"350 Fifth Ave New York, NY 10118",New York County,(917) 999-6532,Restaurant,96,96,The,Economic,The employees are not represented by a union.,Plant Closing
10/1/2019,2019-0078,Plant Unit Closing,Edwards Vacuum LLC,"6416 Inducon Drive West Sanborn, NY 14132",Niagara County,(716) 990-6029,Appliance Manufacturer,65,104,Separations,Plant Manufacturing Unit Relocating,The employees are not represented by a union.,Plant Unit Closing
9/23/2019,2019-0069,Plant Closing,Concorde Medical Group PLLC,"316 East 30th Street, Floor 2 New York, NY 10116",New York County,(212) 481-4493,Home Health Care,115,115,12/31/2019,Economic,The employees are not represented by a union.,Plant Closing
9/20/2019,2019-0067,Plant Closing,"Pet Partners, LLC","5 Mountain Ledge Drive Wilton, NY 12831",Saratoga County,(518) 226-3508,Animal hospital,49,49,The,Economic,The employees are not represented by a union.,Plant Closing
9/9/2019,2019-0065,Plant Layoff,Home Box Office. Inc. (HBO Service Corp.),"30 Hudson Yards New York, NY 10001",New York County,(212) 512-5644,"American premium channel owned by the Home Box Office, Inc.",15,1176,Separations,Merger,The employees are not represented by a union.,Plant Layoff
9/20/2019,2018-0431,Plant Closing,American Technical Ceramics Corp,"One Norden Lane Huntington Station, NY 11746",Suffolk County,(631) 622-4772,Manufacturer of capacitors,24,157,The,Economic,The employees are not represented by a union.,Plant Closing
